Variable Name,Code,Hex,,,,,
Theme color 1,Theme color 1,#FF7F50,,,,,
Theme color 2,Theme color 2,#40E0D0,,,,,
Theme color 3,Theme color 3,#FFD700,,,,,
Theme color 4,Theme color 4,#7DF9FF,,,,,
Theme color 5,Theme color 5,#FF69B4,,,,,
Theme color 6,Theme color 6,#36454F,,,,,
Theme color 7,Theme color 7,#D3D3D3,,,,,
Theme color 8,Theme color 8,#FFFFF0,,,,,
bg-primary,gray-950,#0C111D,,,,,
bg-primary_alt,gray-900,#161B26,,,,,
bg-primary_hover,gray-800,#1F242F,,,,,
border-secondary,gray-800,#1F242F,,,,,
fg-secondary_hover,gray-200,#ECECED,,,,,
text-primary,gray-50,#F5F5F6,,,,,
text-secondary,gray-300,#CECFD2,,,,,
text-tertiary,gray-400,#94969C,,,,,
border-tertiary,gray-800,#1F242F,,,,,
bg-secondary_alt,gray-950,#0C111D,,,,,
bg-tertiary,gray-800,#1F242F,,,,,
bg-active,gray-800,#1F242F,,,,,
border-primary,gray-700,#333741,,,,,
unknown,?,#AE8970,,,,,
